Date,Symbol,Order,Shares
2008-01-10,ML4T-399,BUY,100
2008-01-17,ML4T-399,SELL,100
2008-01-11,ML4T-399,BUY,100
2008-01-18,ML4T-399,SELL,100
2008-01-14,ML4T-399,BUY,100
2008-01-22,ML4T-399,SELL,100
2008-01-15,ML4T-399,BUY,100
2008-01-23,ML4T-399,SELL,100
2008-01-16,ML4T-399,BUY,100
2008-01-24,ML4T-399,SELL,100
2008-01-22,ML4T-399,SELL,100
2008-01-29,ML4T-399,BUY,100
2008-01-23,ML4T-399,SELL,100
2008-01-30,ML4T-399,BUY,100
2008-01-24,ML4T-399,SELL,100
2008-01-31,ML4T-399,BUY,100
2008-01-25,ML4T-399,SELL,100
2008-02-01,ML4T-399,BUY,100
2008-01-28,ML4T-399,SELL,100
2008-02-04,ML4T-399,BUY,100
2008-02-01,ML4T-399,BUY,100
2008-02-08,ML4T-399,SELL,100
2008-02-04,ML4T-399,BUY,100
2008-02-11,ML4T-399,SELL,100
2008-02-05,ML4T-399,BUY,100
2008-02-12,ML4T-399,SELL,100
2008-02-06,ML4T-399,BUY,100
2008-02-13,ML4T-399,SELL,100
2008-02-07,ML4T-399,BUY,100
2008-02-14,ML4T-399,SELL,100
2008-02-12,ML4T-399,SELL,100
2008-02-20,ML4T-399,BUY,100
2008-02-13,ML4T-399,SELL,100
2008-02-21,ML4T-399,BUY,100
2008-02-14,ML4T-399,SELL,100
2008-02-22,ML4T-399,BUY,100
2008-02-15,ML4T-399,SELL,100
2008-02-25,ML4T-399,BUY,100
2008-02-19,ML4T-399,SELL,100
2008-02-26,ML4T-399,BUY,100
2008-02-25,ML4T-399,BUY,100
2008-03-03,ML4T-399,SELL,100
2008-02-26,ML4T-399,BUY,100
2008-03-04,ML4T-399,SELL,100
2008-02-27,ML4T-399,BUY,100
2008-03-05,ML4T-399,SELL,100
2008-02-28,ML4T-399,BUY,100
2008-03-06,ML4T-399,SELL,100
2008-02-29,ML4T-399,BUY,100
2008-03-07,ML4T-399,SELL,100
2008-03-05,ML4T-399,SELL,100
2008-03-12,ML4T-399,BUY,100
2008-03-06,ML4T-399,SELL,100
2008-03-13,ML4T-399,BUY,100
2008-03-07,ML4T-399,SELL,100
