Date,Symbol,Order,Shares
2006-03-16,IBM,SELL,100
2006-03-31,IBM,BUY,100
2006-04-13,IBM,BUY,100
2006-04-19,IBM,BUY,100
2006-05-24,IBM,BUY,100
2006-07-07,IBM,BUY,100
2006-07-18,IBM,BUY,100
2006-08-07,IBM,BUY,100
2006-08-21,IBM,SELL,100
2006-09-22,IBM,BUY,100
2006-10-11,IBM,SELL,100
2006-10-13,IBM,SELL,100
2006-10-20,IBM,SELL,100
2006-11-27,IBM,BUY,100
2007-01-05,IBM,SELL,100
2007-01-09,IBM,SELL,100
2007-01-10,IBM,SELL,100
2007-01-19,IBM,BUY,100
2007-03-05,IBM,BUY,100
2007-04-13,IBM,BUY,100
2007-04-27,IBM,SELL,100
2007-05-24,IBM,BUY,100
2007-06-08,IBM,BUY,100
2007-06-22,IBM,BUY,100
2007-07-09,IBM,SELL,100
2007-07-19,IBM,SELL,100
2007-07-20,IBM,SELL,100
2007-07-23,IBM,SELL,100
2007-07-24,IBM,SELL,100
2007-07-31,IBM,BUY,100
2007-09-05,IBM,SELL,100
2007-10-03,IBM,BUY,100
2007-10-23,IBM,BUY,100
2007-11-01,IBM,BUY,100
2007-11-13,IBM,BUY,100
2007-11-30,IBM,BUY,100
